Region Code;Region Name;Code of Electoral District;Name of Electoral District;Code of Territorial District;Name of Territorial District;Party Number;Party Name;Votes;Vote Share in %;Party Voters Using their Right of Preferential Voting;Preferential Vote Share in %
3;Region of Trenčín;303;Považská Bystrica;306;Považská Bystrica;21;HLAS ĽUDU;23;0.06;17;73,91
3;Region of Trenčín;303;Považská Bystrica;306;Považská Bystrica;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;2;0;2;100,00
3;Region of Trenčín;303;Považská Bystrica;306;Považská Bystrica;23;Práca slovenského národa;26;0.07;18;69,23
3;Region of Trenčín;303;Považská Bystrica;306;Považská Bystrica;24;Kotlebovci - Ľudová strana Naše Slovensko;4128;11.58; 3 315;80,30
3;Region of Trenčín;303;Považská Bystrica;306;Považská Bystrica;25;Socialisti.sk;260;0.72;187;71,92
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;1;Slovenská ľudová strana Andreja Hlinku;42;0.16;33;78,57
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;2;DOBRÁ VOĽBA;814;3.18;617;75,79
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;3;Sloboda a Solidarita;1211;4.73;919;75,88
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;4;SME RODINA;2433;9.51; 1 950;80,14
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;5;Slovenské Hnutie Obrody;16;0.06;9;56,25
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;6;ZA ĽUDÍ;1044;4.08;786;75,28
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;7;MÁME TOHO DOSŤ !;94;0.36;48;51,06
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;9;Slovenská národná strana;1093;4.27;796;72,82
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;10;Demokratická strana;86;0.33;76;88,37
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;5901;23.07; 4 999;84,71
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;1433;5.6; 1 145;79,90
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;29;0.11;21;72,41
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;14;99 % - občiansky hlas;8;0.03;5;62,50
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;15;Kresťanskodemokratické hnutie;1178;4.6;892;75,72
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;16;Slovenská liga;8;0.03;3;37,50
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;17;VLASŤ;913;3.56;758;83,02
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;18;MOST - HÍD;46;0.17;26;56,52
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;19;SMER - sociálna demokracia;6495;25.39; 5 610;86,37
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;20;SOLIDARITA - Hnutie pracujúcej chudoby;31;0.12;18;58,06
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;21;HLAS ĽUDU;21;0.08;14;66,66
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;6;0.02;4;66,66
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;23;Práca slovenského národa;12;0.04;8;66,66
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;24;Kotlebovci - Ľudová strana Naše Slovensko;2522;9.86; 2 113;83,78
3;Region of Trenčín;303;Považská Bystrica;308;Púchov;25;Socialisti.sk;141;0.55;95;67,37
3;Region of Trenčín;304;Prievidza;305;Partizánske;1;Slovenská ľudová strana Andreja Hlinku;39;0.15;20;51,28
3;Region of Trenčín;304;Prievidza;305;Partizánske;2;DOBRÁ VOĽBA;929;3.73;736;79,22
3;Region of Trenčín;304;Prievidza;305;Partizánske;3;Sloboda a Solidarita;1262;5.06;952;75,43
3;Region of Trenčín;304;Prievidza;305;Partizánske;4;SME RODINA;2728;10.95; 2 230;81,74
3;Region of Trenčín;304;Prievidza;305;Partizánske;5;Slovenské Hnutie Obrody;13;0.05;9;69,23
3;Region of Trenčín;304;Prievidza;305;Partizánske;6;ZA ĽUDÍ;853;3.42;674;79,01
3;Region of Trenčín;304;Prievidza;305;Partizánske;7;MÁME TOHO DOSŤ !;56;0.22;36;64,28
3;Region of Trenčín;304;Prievidza;305;Partizánske;9;Slovenská národná strana;986;3.96;762;77,28
3;Region of Trenčín;304;Prievidza;305;Partizánske;10;Demokratická strana;34;0.13;25;73,52
3;Region of Trenčín;304;Prievidza;305;Partizánske;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;5554;22.3; 4 657;83,84
3;Region of Trenčín;304;Prievidza;305;Partizánske;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;1224;4.91;998;81,53
3;Region of Trenčín;304;Prievidza;305;Partizánske;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;12;0.04;10;83,33
3;Region of Trenčín;304;Prievidza;305;Partizánske;14;99 % - občiansky hlas;8;0.03;5;62,50
3;Region of Trenčín;304;Prievidza;305;Partizánske;15;Kresťanskodemokratické hnutie;1285;5.16; 1 049;81,63
3;Region of Trenčín;304;Prievidza;305;Partizánske;16;Slovenská liga;4;0.01;2;50,00
3;Region of Trenčín;304;Prievidza;305;Partizánske;17;VLASŤ;947;3.8;788;83,21
3;Region of Trenčín;304;Prievidza;305;Partizánske;18;MOST - HÍD;33;0.13;31;93,93
3;Region of Trenčín;304;Prievidza;305;Partizánske;19;SMER - sociálna demokracia;6321;25.38; 5 393;85,31
3;Region of Trenčín;304;Prievidza;305;Partizánske;20;SOLIDARITA - Hnutie pracujúcej chudoby;26;0.1;14;53,84
3;Region of Trenčín;304;Prievidza;305;Partizánske;21;HLAS ĽUDU;19;0.07;16;84,21
3;Region of Trenčín;304;Prievidza;305;Partizánske;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;4;0.01;3;75,00
3;Region of Trenčín;304;Prievidza;305;Partizánske;23;Práca slovenského národa;19;0.07;14;73,68
3;Region of Trenčín;304;Prievidza;305;Partizánske;24;Kotlebovci - Ľudová strana Naše Slovensko;2394;9.61; 2 021;84,41
3;Region of Trenčín;304;Prievidza;305;Partizánske;25;Socialisti.sk;147;0.59;112;76,19
3;Region of Trenčín;304;Prievidza;307;Prievidza;1;Slovenská ľudová strana Andreja Hlinku;147;0.19;82;55,78
3;Region of Trenčín;304;Prievidza;307;Prievidza;2;DOBRÁ VOĽBA;2772;3.68; 2 091;75,43
3;Region of Trenčín;304;Prievidza;307;Prievidza;3;Sloboda a Solidarita;4131;5.49; 3 273;79,23
3;Region of Trenčín;304;Prievidza;307;Prievidza;4;SME RODINA;7646;10.17; 6 128;80,14
3;Region of Trenčín;304;Prievidza;307;Prievidza;5;Slovenské Hnutie Obrody;69;0.09;44;63,76
3;Region of Trenčín;304;Prievidza;307;Prievidza;6;ZA ĽUDÍ;3228;4.29; 2 506;77,63
3;Region of Trenčín;304;Prievidza;307;Prievidza;7;MÁME TOHO DOSŤ !;211;0.28;119;56,39
3;Region of Trenčín;304;Prievidza;307;Prievidza;9;Slovenská národná strana;2802;3.72; 1 997;71,27
3;Region of Trenčín;304;Prievidza;307;Prievidza;10;Demokratická strana;160;0.21;115;71,87
3;Region of Trenčín;304;Prievidza;307;Prievidza;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;17369;23.12; 14 570;83,88
3;Region of Trenčín;304;Prievidza;307;Prievidza;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;5031;6.69; 4 242;84,31
3;Region of Trenčín;304;Prievidza;307;Prievidza;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;45;0.05;23;51,11
3;Region of Trenčín;304;Prievidza;307;Prievidza;14;99 % - občiansky hlas;22;0.02;11;50,00
3;Region of Trenčín;304;Prievidza;307;Prievidza;15;Kresťanskodemokratické hnutie;2019;2.68; 1 418;70,23
3;Region of Trenčín;304;Prievidza;307;Prievidza;16;Slovenská liga;22;0.02;13;59,09
3;Region of Trenčín;304;Prievidza;307;Prievidza;17;VLASŤ;2565;3.41; 2 067;80,58
3;Region of Trenčín;304;Prievidza;307;Prievidza;18;MOST - HÍD;188;0.25;154;81,91
3;Region of Trenčín;304;Prievidza;307;Prievidza;19;SMER - sociálna demokracia;18584;24.73; 15 749;84,74
3;Region of Trenčín;304;Prievidza;307;Prievidza;20;SOLIDARITA - Hnutie pracujúcej chudoby;74;0.09;34;45,94
3;Region of Trenčín;304;Prievidza;307;Prievidza;21;HLAS ĽUDU;81;0.1;37;45,67
3;Region of Trenčín;304;Prievidza;307;Prievidza;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;15;0.01;12;80,00
3;Region of Trenčín;304;Prievidza;307;Prievidza;23;Práca slovenského národa;52;0.06;35;67,30
3;Region of Trenčín;304;Prievidza;307;Prievidza;24;Kotlebovci - Ľudová strana Naše Slovensko;7391;9.83; 6 112;82,69
3;Region of Trenčín;304;Prievidza;307;Prievidza;25;Socialisti.sk;500;0.66;337;67,40
3;Region of Trenčín;305;Trenčín;302;Ilava;1;Slovenská ľudová strana Andreja Hlinku;64;0.19;39;60,93
3;Region of Trenčín;305;Trenčín;302;Ilava;2;DOBRÁ VOĽBA;1123;3.37;819;72,92
3;Region of Trenčín;305;Trenčín;302;Ilava;3;Sloboda a Solidarita;1773;5.32; 1 277;72,02
3;Region of Trenčín;305;Trenčín;302;Ilava;4;SME RODINA;3334;10.01; 2 479;74,35
3;Region of Trenčín;305;Trenčín;302;Ilava;5;Slovenské Hnutie Obrody;24;0.07;21;87,50
3;Region of Trenčín;305;Trenčín;302;Ilava;6;ZA ĽUDÍ;1304;3.91;936;71,77
3;Region of Trenčín;305;Trenčín;302;Ilava;7;MÁME TOHO DOSŤ !;75;0.22;41;54,66
3;Region of Trenčín;305;Trenčín;302;Ilava;9;Slovenská národná strana;1382;4.15;950;68,74
3;Region of Trenčín;305;Trenčín;302;Ilava;10;Demokratická strana;53;0.15;37;69,81
3;Region of Trenčín;305;Trenčín;302;Ilava;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;7397;22.22; 6 144;83,06
3;Region of Trenčín;305;Trenčín;302;Ilava;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;1905;5.72; 1 523;79,94
3;Region of Trenčín;305;Trenčín;302;Ilava;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;28;0.08;12;42,85
3;Region of Trenčín;305;Trenčín;302;Ilava;14;99 % - občiansky hlas;10;0.03;8;80,00
3;Region of Trenčín;305;Trenčín;302;Ilava;15;Kresťanskodemokratické hnutie;1540;4.62; 1 189;77,20
3;Region of Trenčín;305;Trenčín;302;Ilava;16;Slovenská liga;13;0.03;8;61,53
3;Region of Trenčín;305;Trenčín;302;Ilava;17;VLASŤ;1420;4.26; 1 098;77,32
3;Region of Trenčín;305;Trenčín;302;Ilava;18;MOST - HÍD;57;0.17;49;85,96
3;Region of Trenčín;305;Trenčín;302;Ilava;19;SMER - sociálna demokracia;8189;24.61; 6 559;80,09
3;Region of Trenčín;305;Trenčín;302;Ilava;20;SOLIDARITA - Hnutie pracujúcej chudoby;44;0.13;24;54,54
3;Region of Trenčín;305;Trenčín;302;Ilava;21;HLAS ĽUDU;17;0.05;10;58,82
3;Region of Trenčín;305;Trenčín;302;Ilava;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;5;0.01;4;80,00
3;Region of Trenčín;305;Trenčín;302;Ilava;23;Práca slovenského národa;34;0.1;20;58,82
3;Region of Trenčín;305;Trenčín;302;Ilava;24;Kotlebovci - Ľudová strana Naše Slovensko;3212;9.65; 2 564;79,82
3;Region of Trenčín;305;Trenčín;302;Ilava;25;Socialisti.sk;272;0.81;187;68,75
3;Region of Trenčín;305;Trenčín;309;Trenčín;1;Slovenská ľudová strana Andreja Hlinku;98;0.14;60;61,22
3;Region of Trenčín;305;Trenčín;309;Trenčín;2;DOBRÁ VOĽBA;2133;3.19; 1 605;75,24
3;Region of Trenčín;305;Trenčín;309;Trenčín;3;Sloboda a Solidarita;4451;6.66; 3 311;74,38
3;Region of Trenčín;305;Trenčín;309;Trenčín;4;SME RODINA;6002;8.98; 4 413;73,52
3;Region of Trenčín;305;Trenčín;309;Trenčín;5;Slovenské Hnutie Obrody;39;0.05;24;61,53
3;Region of Trenčín;305;Trenčín;309;Trenčín;6;ZA ĽUDÍ;3998;5.98; 3 066;76,68
3;Region of Trenčín;305;Trenčín;309;Trenčín;7;MÁME TOHO DOSŤ !;173;0.25;97;56,06
3;Region of Trenčín;305;Trenčín;309;Trenčín;9;Slovenská národná strana;2498;3.74; 1 741;69,69
3;Region of Trenčín;305;Trenčín;309;Trenčín;10;Demokratická strana;169;0.25;126;74,55
3;Region of Trenčín;305;Trenčín;309;Trenčín;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;17779;26.62; 14 660;82,45
3;Region of Trenčín;305;Trenčín;309;Trenčín;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;5163;7.73; 4 021;77,88
3;Region of Trenčín;305;Trenčín;309;Trenčín;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;85;0.12;65;76,47
3;Region of Trenčín;305;Trenčín;309;Trenčín;14;99 % - občiansky hlas;18;0.02;12;66,66
3;Region of Trenčín;305;Trenčín;309;Trenčín;15;Kresťanskodemokratické hnutie;3131;4.68; 2 275;72,66
3;Region of Trenčín;305;Trenčín;309;Trenčín;16;Slovenská liga;23;0.03;16;69,56
3;Region of Trenčín;305;Trenčín;309;Trenčín;17;VLASŤ;2094;3.13; 1 639;78,27
3;Region of Trenčín;305;Trenčín;309;Trenčín;18;MOST - HÍD;142;0.21;109;76,76
3;Region of Trenčín;305;Trenčín;309;Trenčín;19;SMER - sociálna demokracia;13354;19.99; 11 012;82,46
3;Region of Trenčín;305;Trenčín;309;Trenčín;20;SOLIDARITA - Hnutie pracujúcej chudoby;50;0.07;22;44,00
3;Region of Trenčín;305;Trenčín;309;Trenčín;21;HLAS ĽUDU;41;0.06;26;63,41
3;Region of Trenčín;305;Trenčín;309;Trenčín;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;27;0.04;25;92,59
3;Region of Trenčín;305;Trenčín;309;Trenčín;23;Práca slovenského národa;67;0.1;48;71,64
3;Region of Trenčín;305;Trenčín;309;Trenčín;24;Kotlebovci - Ľudová strana Naše Slovensko;4816;7.21; 3 765;78,17
3;Region of Trenčín;305;Trenčín;309;Trenčín;25;Socialisti.sk;422;0.63;290;68,72
4;Region of Nitra;401;Komárno;401;Komárno;1;Slovenská ľudová strana Andreja Hlinku;103;0.23;86;83,49
4;Region of Nitra;401;Komárno;401;Komárno;2;DOBRÁ VOĽBA;536;1.21;408;76,11
4;Region of Nitra;401;Komárno;401;Komárno;3;Sloboda a Solidarita;1241;2.82;914;73,65
4;Region of Nitra;401;Komárno;401;Komárno;4;SME RODINA;1617;3.67; 1 311;81,07
4;Region of Nitra;401;Komárno;401;Komárno;5;Slovenské Hnutie Obrody;9;0.02;5;55,55
4;Region of Nitra;401;Komárno;401;Komárno;6;ZA ĽUDÍ;1578;3.58; 1 176;74,52
4;Region of Nitra;401;Komárno;401;Komárno;7;MÁME TOHO DOSŤ !;203;0.46;164;80,78
4;Region of Nitra;401;Komárno;401;Komárno;9;Slovenská národná strana;397;0.9;283;71,28
4;Region of Nitra;401;Komárno;401;Komárno;10;Demokratická strana;44;0.1;39;88,63
4;Region of Nitra;401;Komárno;401;Komárno;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;7751;17.61; 6 683;86,22
4;Region of Nitra;401;Komárno;401;Komárno;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;1975;4.48; 1 587;80,35
4;Region of Nitra;401;Komárno;401;Komárno;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;44;0.1;39;88,63
4;Region of Nitra;401;Komárno;401;Komárno;14;99 % - občiansky hlas;11;0.02;8;72,72
4;Region of Nitra;401;Komárno;401;Komárno;15;Kresťanskodemokratické hnutie;205;0.46;147;71,70
4;Region of Nitra;401;Komárno;401;Komárno;16;Slovenská liga;9;0.02;3;33,33
4;Region of Nitra;401;Komárno;401;Komárno;17;VLASŤ;449;1.02;365;81,29
4;Region of Nitra;401;Komárno;401;Komárno;18;MOST - HÍD;5565;12.64; 4 801;86,27
4;Region of Nitra;401;Komárno;401;Komárno;19;SMER - sociálna demokracia;2742;6.23; 2 333;85,08
4;Region of Nitra;401;Komárno;401;Komárno;20;SOLIDARITA - Hnutie pracujúcej chudoby;43;0.09;30;69,76
4;Region of Nitra;401;Komárno;401;Komárno;21;HLAS ĽUDU;13;0.02;12;92,30
4;Region of Nitra;401;Komárno;401;Komárno;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;18082;41.09; 15 505;85,74
4;Region of Nitra;401;Komárno;401;Komárno;23;Práca slovenského národa;4;0;3;75,00
4;Region of Nitra;401;Komárno;401;Komárno;24;Kotlebovci - Ľudová strana Naše Slovensko;1281;2.91; 1 017;79,39
4;Region of Nitra;401;Komárno;401;Komárno;25;Socialisti.sk;98;0.22;68;69,38
4;Region of Nitra;402;Levice;402;Levice;1;Slovenská ľudová strana Andreja Hlinku;174;0.3;130;74,71
4;Region of Nitra;402;Levice;402;Levice;2;DOBRÁ VOĽBA;1354;2.4;995;73,48
4;Region of Nitra;402;Levice;402;Levice;3;Sloboda a Solidarita;2640;4.68; 1 900;71,96
4;Region of Nitra;402;Levice;402;Levice;4;SME RODINA;4943;8.77; 3 865;78,19
4;Region of Nitra;402;Levice;402;Levice;5;Slovenské Hnutie Obrody;38;0.06;31;81,57
4;Region of Nitra;402;Levice;402;Levice;6;ZA ĽUDÍ;2755;4.89; 2 106;76,44
4;Region of Nitra;402;Levice;402;Levice;7;MÁME TOHO DOSŤ !;165;0.29;105;63,63
4;Region of Nitra;402;Levice;402;Levice;9;Slovenská národná strana;1395;2.47; 1 035;74,19
4;Region of Nitra;402;Levice;402;Levice;10;Demokratická strana;64;0.11;46;71,87
4;Region of Nitra;402;Levice;402;Levice;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;14099;25.04; 11 680;82,84
4;Region of Nitra;402;Levice;402;Levice;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;2962;5.26; 2 233;75,38
4;Region of Nitra;402;Levice;402;Levice;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;27;0.04;15;55,55
4;Region of Nitra;402;Levice;402;Levice;14;99 % - občiansky hlas;12;0.02;8;66,66
4;Region of Nitra;402;Levice;402;Levice;15;Kresťanskodemokratické hnutie;1445;2.56; 1 042;72,11
4;Region of Nitra;402;Levice;402;Levice;16;Slovenská liga;12;0.02;7;58,33
4;Region of Nitra;402;Levice;402;Levice;17;VLASŤ;1224;2.17; 1 000;81,69
4;Region of Nitra;402;Levice;402;Levice;18;MOST - HÍD;2459;4.36; 1 968;80,03
4;Region of Nitra;402;Levice;402;Levice;19;SMER - sociálna demokracia;8776;15.58; 7 303;83,21
4;Region of Nitra;402;Levice;402;Levice;20;SOLIDARITA - Hnutie pracujúcej chudoby;57;0.1;23;40,35
4;Region of Nitra;402;Levice;402;Levice;21;HLAS ĽUDU;36;0.06;25;69,44
4;Region of Nitra;402;Levice;402;Levice;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;7107;12.62; 6 045;85,05
4;Region of Nitra;402;Levice;402;Levice;23;Práca slovenského národa;27;0.04;16;59,25
4;Region of Nitra;402;Levice;402;Levice;24;Kotlebovci - Ľudová strana Naše Slovensko;4225;7.5; 3 388;80,18
4;Region of Nitra;402;Levice;402;Levice;25;Socialisti.sk;303;0.53;209;68,97
4;Region of Nitra;403;Nitra;403;Nitra;1;Slovenská ľudová strana Andreja Hlinku;177;0.19;124;70,05
4;Region of Nitra;403;Nitra;403;Nitra;2;DOBRÁ VOĽBA;2978;3.21; 2 295;77,06
4;Region of Nitra;403;Nitra;403;Nitra;3;Sloboda a Solidarita;6416;6.92; 4 773;74,39
4;Region of Nitra;403;Nitra;403;Nitra;4;SME RODINA;8469;9.14; 6 653;78,55
4;Region of Nitra;403;Nitra;403;Nitra;5;Slovenské Hnutie Obrody;106;0.11;76;71,69
4;Region of Nitra;403;Nitra;403;Nitra;6;ZA ĽUDÍ;4815;5.19; 3 835;79,64
4;Region of Nitra;403;Nitra;403;Nitra;7;MÁME TOHO DOSŤ !;222;0.23;131;59,00
4;Region of Nitra;403;Nitra;403;Nitra;9;Slovenská národná strana;2969;3.2; 2 238;75,37
4;Region of Nitra;403;Nitra;403;Nitra;10;Demokratická strana;120;0.12;90;75,00
4;Region of Nitra;403;Nitra;403;Nitra;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;23298;25.15; 19 755;84,79
4;Region of Nitra;403;Nitra;403;Nitra;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;5858;6.32; 4 681;79,90
4;Region of Nitra;403;Nitra;403;Nitra;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;45;0.04;23;51,11
4;Region of Nitra;403;Nitra;403;Nitra;14;99 % - občiansky hlas;30;0.03;18;60,00
4;Region of Nitra;403;Nitra;403;Nitra;15;Kresťanskodemokratické hnutie;3227;3.48; 2 377;73,65
4;Region of Nitra;403;Nitra;403;Nitra;16;Slovenská liga;25;0.02;17;68,00
4;Region of Nitra;403;Nitra;403;Nitra;17;VLASŤ;2654;2.86; 2 233;84,13
4;Region of Nitra;403;Nitra;403;Nitra;18;MOST - HÍD;1372;1.48; 1 105;80,53
4;Region of Nitra;403;Nitra;403;Nitra;19;SMER - sociálna demokracia;19551;21.11; 16 644;85,13
4;Region of Nitra;403;Nitra;403;Nitra;20;SOLIDARITA - Hnutie pracujúcej chudoby;107;0.11;62;57,94
4;Region of Nitra;403;Nitra;403;Nitra;21;HLAS ĽUDU;55;0.05;39;70,90
4;Region of Nitra;403;Nitra;403;Nitra;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;1645;1.77; 1 400;85,10
4;Region of Nitra;403;Nitra;403;Nitra;23;Práca slovenského národa;38;0.04;20;52,63
4;Region of Nitra;403;Nitra;403;Nitra;24;Kotlebovci - Ľudová strana Naše Slovensko;7887;8.51; 6 635;84,12
4;Region of Nitra;403;Nitra;403;Nitra;25;Socialisti.sk;539;0.58;395;73,28
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;1;Slovenská ľudová strana Andreja Hlinku;60;0.25;47;78,33
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;2;DOBRÁ VOĽBA;811;3.44;642;79,16
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;3;Sloboda a Solidarita;1089;4.63;777;71,34
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;4;SME RODINA;2470;10.5; 1 899;76,88
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;5;Slovenské Hnutie Obrody;16;0.06;13;81,25
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;6;ZA ĽUDÍ;801;3.4;587;73,28
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;7;MÁME TOHO DOSŤ !;67;0.28;45;67,16
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;9;Slovenská národná strana;1264;5.37;942;74,52
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;10;Demokratická strana;20;0.08;14;70,00
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;5143;21.87; 4 324;84,07
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;1053;4.47;820;77,87
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;15;0.06;9;60,00
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;14;99 % - občiansky hlas;5;0.02;3;60,00
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;15;Kresťanskodemokratické hnutie;1063;4.52;733;68,95
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;16;Slovenská liga;2;0;0;0,00
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;17;VLASŤ;907;3.85;720;79,38
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;18;MOST - HÍD;83;0.35;63;75,90
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;19;SMER - sociálna demokracia;6050;25.73; 5 152;85,15
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;20;SOLIDARITA - Hnutie pracujúcej chudoby;25;0.1;14;56,00
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;21;HLAS ĽUDU;13;0.05;12;92,30
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;49;0.2;30;61,22
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;23;Práca slovenského národa;8;0.03;3;37,50
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;24;Kotlebovci - Ľudová strana Naše Slovensko;2355;10.01; 1 936;82,20
4;Region of Nitra;403;Nitra;407;Zlaté Moravce;25;Socialisti.sk;140;0.59;103;73,57
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;1;Slovenská ľudová strana Andreja Hlinku;172;0.24;137;79,65
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;2;DOBRÁ VOĽBA;2247;3.18; 1 901;84,60
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;3;Sloboda a Solidarita;2862;4.05; 2 196;76,72
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;4;SME RODINA;5554;7.86; 4 624;83,25
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;5;Slovenské Hnutie Obrody;42;0.05;39;92,85
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;6;ZA ĽUDÍ;2714;3.84; 2 094;77,15
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;7;MÁME TOHO DOSŤ !;144;0.2;97;67,36
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;9;Slovenská národná strana;1965;2.78; 1 528;77,76
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;10;Demokratická strana;60;0.08;52;86,66
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;15975;22.61; 13 694;85,72
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;3075;4.35; 2 442;79,41
4;Region of Nitra;404;Nové Zámky;404;Nové Zámky;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;32;0.04;24;75,00
